NOME DO MUNICÍPIO,POPULAÇÃO
Adamantina,34357
Adolfo,4339
Aguaí,31561
Águas da Prata,7075
Águas de Lindóia,18859
Águas de Santa Bárbara,7118
Águas de São Pedro,3097
Agudos,37525
Alambari,6086
Alfredo Marcondes,4458
Altair,3383
Altinópolis,16845
Alto Alegre,3837
Alumínio,17170
Álvares Florence,3881
Álvares Machado,27361
Álvaro de Carvalho,4716
Alvinlândia,2893
Americana,243674
Américo Brasiliense,31996
Américo de Campos,5790
Amparo,69952
Analândia,4577
Andradina,59464
Angatuba,23928
Anhembi,5659
Anhumas,4005
Aparecida,32927
Aparecida d'Oeste,4030
Apiaí,24978
Araçariguama,22673
Araçatuba,213929
Araçoiaba da Serra,32922
Aramina,5419
Arandu,6654
Arapeí,2469
Araraquara,250304
Araras,131300
Arco-Íris,2044
Arealva,8079
Areias,3616
Areiópolis,9805
Ariranha,7595
Artur Nogueira,55352
Arujá,97595
Aspásia,1860
Assis,100447
Atibaia,171672
Auriflama,13432
Avaí,4553
Avanhandava,11257
Avaré,92659
Bady Bassitt,26991
Balbinos,3886
Bálsamo,9598
Bananal,9690
Barão de Antonina,3533
Barbosa,5623
Bariri,31584
Barra Bonita,34430
Barra do Chapéu,5135
Barra do Turvo,7318
Barretos,119427
Barrinha,32465
Barueri,342613
Bastos,21516
Batatais,59342
Bauru,388686
Bebedouro,75709
Bento de Abreu,2606
Bernardino de Campos,11623
Bertioga,64018
Bilac,7310
Birigui,118365
Biritiba Mirim,30195
Boa Esperança do Sul,12722
Bocaina,11265
Bofete,9943
Boituva,64799
Bom Jesus dos Perdões,24365
Bom Sucesso de Itararé,3585
Borá,877
Boracéia,4720
Borborema,13366
Borebi,2722
Botucatu,145272
Bragança Paulista,181556
Braúna,5358
Brejo Alegre,2561
Brodowski,25334
Brotas,23751
Buri,20038
Buritama,17203
Buritizal,4253
Cabrália Paulista,4299
Cabreúva,45941
Caçapava,96530
Cachoeira Paulista,32390
Caconde,16947
Cafelândia,16478
Caiabu,3712
Caieiras,98600
Caiuá,5437
Cajamar,101500
Cajati,28834
Cajobi,9129
Cajuru,23845
Campina do Monte Alegre,5992
Campinas,1170247
Campo Limpo Paulista,81355
Campos do Jordão,45177
Campos Novos Paulista,4837
Cananéia,13615
Canas,4954
Cândido Mota,29530
Cândido Rodrigues,2907
Canitar,6369
Capão Bonito,46215
Capela do Alto,22679
Capivari,50954
Caraguatatuba,132558
Carapicuíba,406221
Cardoso,11288
Casa Branca,28107
Cássia dos Coqueiros,2777
Castilho,19902
Catanduva,114953
Catiguá,7004
Cedral,11922
Cerqueira César,21440
Cerquilho,44024
Cesário Lange,18811
Charqueada,15739
Clementina,7005
Colina,18411
Colômbia,6642
Conchal,28184
Conchas,17184
Cordeirópolis,26585
Coroados,5395
Coronel Macedo,4226
Corumbataí,4667
Cosmópolis,59715
Cosmorama,9315
Cotia,289622
Cravinhos,33252
Cristais Paulista,9375
Cruzália,2086
Cruzeiro,75592
Cubatão,128645
Cunha,22125
Descalvado,31916
Diadema,404738
Dirce Reis,1621
Divinolândia,11137
Dobrada,8765
Dois Córregos,24170
Dolcinópolis,2511
Dourado,8233
Dracena,45248
Duartina,12329
Dumont,9476
Echaporã,6157
Eldorado,13402
Elias Fausto,17832
Elisiário,3141
Embaúba,2331
Embu das Artes,277249
Embu-Guaçu,63129
Emilianópolis,3002
Engenheiro Coelho,20119
Espírito Santo do Pinhal,39700
Espírito Santo do Turvo,4095
Estrela d'Oeste,9405
Estrela do Norte,2596
Euclides da Cunha Paulista,7831
Fartura,16782
Fernandópolis,71826
Fernando Prestes,5925
Fernão,1660
Ferraz de Vasconcelos,187253
Flora Rica,1487
Floreal,2735
Flórida Paulista,13009
Florínea,3860
Franca,370378
Francisco Morato,182265
Franco da Rocha,159367
Gabriel Monteiro,2760
Gália,6054
Garça,41395
Gastão Vidigal,3234
Gavião Peixoto,4688
General Salgado,10301
Getulina,10011
Glicério,4132
Guaiçara,11214
Guaimbê,5439
Guaíra,39351
Guapiaçu,21664
Guapiara,16579
Guará,18607
Guaraçaí,7344
Guaraci,10347
Guarani d'Oeste,1948
Guarantã,6427
Guararapes,31017
Guararema,32579
Guaratinguetá,116847
Guareí,15027
Guariba,37022
Guarujá,311116
Guarulhos,1383272
Guatapará,7435
Guzolândia,4238
Herculândia,9109
Holambra,16194
Hortolândia,246449
Iacanga,10104
Iacri,6144
Iaras,8009
Ibaté,32068
Ibirá,11155
Ibirarema,6321
Ibitinga,59371
Ibiúna,84820
Icém,7700
Iepê,7596
Igaraçu do Tietê,22743
Igarapava,25926
Igaratá,11703
Iguape,30054
Ilhabela,38239
Ilha Comprida,13447
Ilha Solteira,25564
Indaiatuba,266593
Indiana,5094
Indiaporã,4087
Inúbia Paulista,3611
Ipaussu,14464
Iperó,40132
Ipeúna,7538
Ipiguá,6551
Iporanga,4053
Ipuã,14463
Iracemápolis,21768
Irapuã,6927
Irapuru,7065
Itaberá,17971
Itaí,24856
Itajobi,16824
Itaju,3652
Itanhaém,107927
Itaoca,3407
Itapecerica da Serra,172898
Itapetininga,166959
Itapeva,95528
Itapevi,239084
Itapira,70438
Itapirapuã Paulista,4339
Itápolis,39533
Itaporanga,14058
Itapuí,13655
Itapura,3945
Itaquaquecetuba,392218
Itararé,44490
Itariri,15225
Itatiba,116275
Itatinga,19219
Itirapina,16157
Itirapuã,5793
Itobi,8044
Itu,176548
Itupeva,72711
Ituverava,37375
Jaborandi,6223
Jaboticabal,72001
Jacareí,251591
Jaci,7618
Jacupiranga,16850
Jaguariúna,60816
Jales,48766
Jambeiro,6421
Jandira,127476
Jardinópolis,45328
Jarinu,40302
Jaú,132351
Jeriquara,3785
Joanópolis,12820
João Ramalho,4381
José Bonifácio,36502
Júlio Mesquita,4254
Jumirim,3052
Jundiaí,459789
Junqueirópolis,20395
Juquiá,19390
Juquitiba,26372
Lagoinha,5071
Laranjal Paulista,28981
Lavínia,9596
Lavrinhas,7258
Leme,97516
Lençóis Paulista,65696
Limeira,305169
Lindóia,6994
Lins,74068
Lorena,84988
Lourdes,1926
Louveira,53526
Lucélia,20046
Lucianópolis,2361
Luís Antônio,13680
Luiziânia,4711
Lupércio,3935
Lutécia,2555
Macatuba,16489
Macaubal,7460
Macedônia,3961
Magda,3159
Mairinque,48097
Mairiporã,113573
Manduri,9852
Marabá Paulista,4531
Maracaí,12700
Marapoama,3295
Mariápolis,3450
Marília,238605
Marinópolis,1889
Martinópolis,24896
Matão,77149
Mauá,383280
Mendonça,6170
Meridiano,4545
Mesópolis,1930
Miguelópolis,19119
Mineiros do Tietê,11233
Miracatu,20234
Mira Estrela,3075
Mirandópolis,27936
Mirante do Paranapanema,15482
Mirassol,63555
Mirassolândia,4605
Mococa,65469
Mogi das Cruzes,471602
Mogi Guaçu,154487
Mogi Mirim,90997
Mombuca,3724
Monções,1948
Mongaguá,61062
Monte Alegre do Sul,8057
